"","GIS.Join.Match.Code","Row.Source.Year","NHGIS.Integrated.State.Name","FIPS.State.Code","NHGIS.Integrated.State.Code","NHGIS.Integrated.County.Name","FIPS.County.Code","NHGIS.Integrated.County.Code","Year.Specific.Area.Name","Persons..Total","Persons..Urban","Persons..Rural","Median.income.in.previous.year..Households"
"259","G0400090","2018-2022","Arizona",4,40,"Graham County",9,90,"Graham County, Arizona",NA,NA,NA,64089
"260","G0400110","2018-2022","Arizona",4,40,"Greenlee County",11,110,"Greenlee County, Arizona",NA,NA,NA,73756
"261","G0400120","2018-2022","Arizona",4,40,"La Paz County",12,120,"La Paz County, Arizona",NA,NA,NA,46634
"262","G0400130","2018-2022","Arizona",4,40,"Maricopa County",13,130,"Maricopa County, Arizona",NA,NA,NA,80675
"263","G0400150","2018-2022","Arizona",4,40,"Mohave County",15,150,"Mohave County, Arizona",NA,NA,NA,53592
"264","G0400170","2018-2022","Arizona",4,40,"Navajo County",17,170,"Navajo County, Arizona",NA,NA,NA,50335
"265","G0400190","2018-2022","Arizona",4,40,"Pima County",19,190,"Pima County, Arizona",NA,NA,NA,64323
"266","G0400210","2018-2022","Arizona",4,40,"Pinal County",21,210,"Pinal County, Arizona",NA,NA,NA,73313
"267","G0400230","2018-2022","Arizona",4,40,"Santa Cruz County",23,230,"Santa Cruz County, Arizona",NA,NA,NA,51885
"268","G0400250","2018-2022","Arizona",4,40,"Yavapai County",25,250,"Yavapai County, Arizona",NA,NA,NA,62430
"269","G0400270","2018-2022","Arizona",4,40,"Yuma County",27,270,"Yuma County, Arizona",NA,NA,NA,56439
